keyword,lang,cid,main_img,post_sj,sumry,com_ctgry_sn,lang_code_id,traffic_adres,traffic_new_adres
자연관광,zh,CNP3pm9nc,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81563&fileTy=MEDIA&fileNo=1&thumbTy=M,北汉山体验型林间休息区,作为城市内休养疗愈空间打造而成，是江北区代表性的知名景点,Cp3b3j9,zh-CN,首尔市江北区水逾洞山123-11,首尔市江北区水逾洞山123-11
자연관광,zh,CNPtr2tsi,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=80200&fileTy=MEDIA&fileNo=1&thumbTy=M,西达山,一座环抱显忠院的山，适合新手攀登,Cu5u8d4,zh-CN,首尔市铜雀区上道洞,首尔市铜雀区上道洞
자연관광,zh,CNPyia5so,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=79082&fileTy=MEDIA&fileNo=1&thumbTy=M,延禧林间休息区,位于西大门区，感受都市中自然之美的休憩空间,Cp3b3j9,zh-CN,首尔市西大门区延禧洞,首尔市西大门区延禧洞 
자연관광,zh,CNP0aa7qh,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=77445&fileTy=MEDIA&fileNo=1&thumbTy=M,松亭堤防路,坐落于四季景致迷人的中浪川畔的散步路,Cw8j0y7,zh-CN,首尔市城东区松亭洞73-448,首尔市城东区松亭洞73-448
자연관광,zh,CNP5nlj26,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=77247&fileTy=MEDIA&fileNo=1&thumbTy=M,南山天空林荫道,在澄澈天空下漫步，尽享南山盎然绿意的散步路,Co6c2n2,zh-CN,首尔市龙山区素月路109 南山图书馆旁 素月庭院,首尔市龙山区素月路109 南山图书馆旁 素月庭院
자연관광,zh,CNPda1e2c,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=74596&fileTy=MEDIA&fileNo=1&thumbTy=M,水落山碧云溪谷,乘坐地铁就能到达的首尔近郊溪谷,Cw8j0y7,zh-CN,首尔市芦原区上溪洞,首尔市芦原区上溪洞
자연관광,zh,CNPctphmy,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=74191&fileTy=MEDIA&fileNo=1&thumbTy=M,龙山儿童庭院,龙山公园返还用地临时开放的龙山儿童庭院,Cp3b3j9,zh-CN,首尔龙山区汉江大路38街21,首尔龙山区汉江大路38街21
자연관광,zh,CNP9l9dhu,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=74029&fileTy=MEDIA&fileNo=1&thumbTy=M,楚安山近邻公园赤脚黄土路,帮助因城市日常生活而疲惫不堪的市民增强体力的治愈空间,Cp3b3j9,zh-CN,首尔市道峰区仓洞677,首尔市道峰区仓洞677
체험관광,ko,KOPw0625e,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81714&fileTy=MEDIA&fileNo=1&thumbTy=M,포터림,도심 속에서 흙을 만지며 무언가를 만드는 즐거움과 여유를 느낄 수 있는 도자기 공방,Cq3m6s6,ko,서울 용산구 한강로2가 77-2,서울 용산구 한강대로40길 25 4층 포터림 도자기공방
체험관광,ko,KOPsdmz8m,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81557&fileTy=MEDIA&fileNo=1&thumbTy=M,한강레져스포츠,도심 속 한강에서 만나는 수상레저 체험 공간,Cl8f8q1,ko,서울 영등포구 여의도동 85-1,"서울 영등포구 여의동로 290 (여의도동, 노들나루)"
